MIC_id,SpeciesName,SpeciesID,phylum_name_Type,genus,genus_name,family,family_name,order,order_name,class,class_name,phylum,phylum_name,kingdom,kingdom_name
MC01505,unclassified Christensenellaceae,1917874,Bacillota,.,.,990719,Christensenellaceae,3082768,Christensenellales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01156,unclassified Chromatiaceae,82569,Pseudomonadota,.,.,1046,Chromatiaceae,135613,Chromatiales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC02968,unclassified Chromatiales,2576752,Pseudomonadota,.,.,.,.,135613,Chromatiales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC01472,unclassified Clostridia,348841,Bacillota,.,.,.,.,.,.,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01024,unclassified Clostridiaceae,189971,Bacillota,.,.,31979,Clostridiaceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC02847,unclassified Coccolithovirus,372443,Nucleocytoviricota,346673,Coccolithovirus,10501,Phycodnaviridae,2732524,Algavirales,2732523,Megaviricetes,2732007,Nucleocytoviricota,2732005,Bamfordvirae
MC01025,unclassified Comamonadaceae,83494,Pseudomonadota,.,.,80864,Comamonadaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03362,unclassified Conexibacteraceae,2660706,Actinomycetota,.,.,320583,Conexibacteraceae,588673,Solirubrobacterales,1497346,Thermoleophilia,201174,Actinomycetota,2,Bacteria
MC00575,unclassified Coriobacteriaceae,84113,Actinomycetota,.,.,84107,Coriobacteriaceae,84999,Coriobacteriales,84998,Coriobacteriia,201174,Actinomycetota,2,Bacteria
MC01498,unclassified Coriobacteriales,1588752,Actinomycetota,.,.,.,.,84999,Coriobacteriales,84998,Coriobacteriia,201174,Actinomycetota,2,Bacteria
MC01510,unclassified Coriobacteriia,2052158,Actinomycetota,.,.,.,.,.,.,84998,Coriobacteriia,201174,Actinomycetota,2,Bacteria
MC01410,unclassified Corynebacteriaceae,42818,Actinomycetota,.,.,1653,Corynebacteriaceae,85007,Mycobacteriales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC02781,unclassified Coxiellaceae,134284,Pseudomonadota,.,.,118968,Coxiellaceae,118969,Legionellales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC01466,unclassified Cryomorphaceae,253244,Bacteroidota,.,.,246874,Cryomorphaceae,200644,Flavobacteriales,117743,Flavobacteriia,976,Bacteroidota,2,Bacteria
MC01026,unclassified Cyanobacteria,1983111,Cyanobacteriota,.,.,.,.,.,.,.,.,1117,Cyanobacteriota,2,Bacteria
MC02903,unclassified Cyprinivirus,1191383,Peploviricota,692606,Cyprinivirus,548682,Alloherpesviridae,548681,Herpesvirales,2731363,Herviviricetes,2731361,Peploviricota,2731360,Heunggongvirae
MC01428,unclassified Cytophagaceae,94253,Bacteroidota,.,.,89373,Cytophagaceae,768507,Cytophagales,768503,Cytophagia,976,Bacteroidota,2,Bacteria
MC01479,unclassified Deferribacteraceae,477975,Deferribacterota,.,.,191394,Deferribacteraceae,191393,Deferribacterales,68337,Deferribacteres,200930,Deferribacterota,2,Bacteria
MC02735,unclassified Deferribacterales,1674872,Deferribacterota,.,.,.,.,191393,Deferribacterales,68337,Deferribacteres,200930,Deferribacterota,2,Bacteria
MC01475,unclassified Deferribacteres,434124,Deferribacterota,.,.,.,.,.,.,68337,Deferribacteres,200930,Deferribacterota,2,Bacteria
